Distrito  Município	Freguesia	Nª Hab.	Área (ha)                 
Aveiro    Aveiro    Vera Cruz    8 652     3 880 
Aveiro    Castelo de Paiva    Bairros    1 853     849
Aveiro    Castelo de Paiva    Fornos    1 602     439
Aveiro    Castelo de Paiva    Paraíso    975    2 485
Aveiro    Castelo de Paiva    Pedorido    1 593     1 196
Aveiro    Castelo de Paiva    Raiva    2 394     1 210
Aveiro    Castelo de Paiva    Real    1 371     3 317
Aveiro    Castelo de Paiva    Sta. Maria de Sardoura    2 698     1 063
Aveiro    Castelo de Paiva    S. Martinho de Sardoura    1 931     375
Aveiro    Castelo de Paiva    Sobrado    2 921     533
Aveiro    Espinho    Anta    10 615     617
Aveiro    Espinho    Espinho    10 225     154
Aveiro    Espinho    Guetim    1 532     176
Aveiro    Espinho    Paramos    3 789     598
Aveiro    Espinho    Silvalde    7 540     597
Aveiro    Estarreja    Avanca    6 474     2 154
Aveiro    Estarreja    Beduído    7 794     2 023
Aveiro    Estarreja    Canelas    1 486     1 015
Aveiro    Estarreja    Fermelã    1 482     1 295
Aveiro    Estarreja    Pardilhó    4 175     1 587
Aveiro    Estarreja    Salreu    4 153     1 616
Aveiro    Estarreja    Veiros    2 618     1 121 
Aveiro    Sta. Maria da Feira    Argoncilhe    8 655     869
Aveiro    Sta. Maria da Feira    Arrifana    6 544     532
Aveiro    Sta. Maria da Feira    Caldas de S. Jorge    2 728     470
Aveiro    Sta. Maria da Feira    Canedo    5 782     2 781
Aveiro    Sta. Maria da Feira    Escapães    3 028     544
Aveiro    Sta. Maria da Feira    Espargo    1 309     570
Aveiro    Sta. Maria da Feira    Feira    11 040     840
Aveiro    Sta. Maria da Feira    Fiães    8 754     658
Aveiro    Sta. Maria da Feira    Fornos    2 810     363
Aveiro    Sta. Maria da Feira    Gião    1 676     357
Aveiro    Sta. Maria da Feira    Guisande    1 474     378
Aveiro    Sta. Maria da Feira    Lobão    5 761     791
Aveiro    Sta. Maria da Feira    Louredo    1 459     867
Aveiro    Sta. Maria da Feira    Lourosa    9 204     641
Aveiro    Sta. Maria da Feira    Milheirós de Poiares    3 859     893
Aveiro    Sta. Maria da Feira    Mosteiró    2 043     295
Aveiro    Sta. Maria da Feira    Mozelos    6 480     504
Aveiro    Sta. Maria da Feira    Nogueira da Regedoura    4 998     487
Aveiro    Sta. Maria da Feira    Paços de Brandão    4 590     371
Aveiro    Sta. Maria da Feira    Pigeiros    1 369     513
Aveiro    Sta. Maria da Feira    Rio Meão    4 688     647
Aveiro    Sta. Maria da Feira    Romariz    3 650     1 044
Aveiro    Sta. Maria da Feira    Sanfins    1 970     370
Aveiro    Sta. Maria da Feira    Sanguedo    3 542     431
Aveiro    Sta. Maria da Feira    Sta. Maria de Lamas    5 120     392
Aveiro    Sta. Maria da Feira    S. João de Ver    8 816     1 631
Aveiro    Sta. Maria da Feira    S. Paio de Oleiros    4 003     422
Aveiro    Sta. Maria da Feira    Souto    4 835     940
Aveiro    Sta. Maria da Feira    Travanca    2 201     572
Aveiro    Sta. Maria da Feira    Vale    2 138     901
Aveiro    Sta. Maria da Feira    Vila Maior    1 438     271
Aveiro    Ílhavo    Gafanha da Encarnação    4 907     1 171
Aveiro    Ílhavo    Gafanha da Nazaré    14 021     1 565
Aveiro    Ílhavo    Gafanha do Carmo    1 521     601
Aveiro    Ílhavo    Ílhavo (S. Salvador)    16 760     4 168 
Aveiro    Mealhada    Bunheiro    2 707     2 460
Aveiro    Mealhada    Monte    1 116     240
Aveiro    Mealhada    Murtosa    3 140     1 456
Aveiro    Mealhada    Torreira    2 495     3 209 
Aveiro    Murtosa    Bunheiro    2 707     2 460
Aveiro    Murtosa    Monte    1 116     240
Aveiro    Murtosa    Murtosa    3 140     1 456
Aveiro    Murtosa    Torreira    2 495     3 209 
Aveiro    Oliveira de Azemeis    Carregosa    3 552     1 080
Aveiro    Oliveira de Azemeis    Cesar    3 288     656
Aveiro    Oliveira de Azemeis    Fajões    3 180     699
Aveiro    Oliveira de Azemeis    Loureiro    3 491     2 100
Aveiro    Oliveira de Azemeis    Macieira de Sarnes    2 214     452
Aveiro    Oliveira de Azemeis    Macinhata de Seixa    1 446     637
Aveiro    Oliveira de Azemeis    Madail    884    260
Aveiro    Oliveira de Azemeis    Nogueira do Cravo    2 852     632
Aveiro    Oliveira de Azemeis    Oliveira de Azeméis    11 168     727
Aveiro    Oliveira de Azemeis    Ossela    2 538     1 482
Aveiro    Oliveira de Azemeis    Palmaz    2 130     1 683
Aveiro    Oliveira de Azemeis    Pindelo    2 758     979
Aveiro    Oliveira de Azemeis    Pinheiro da Bemposta    3 621     890
Aveiro    Oliveira de Azemeis    Santiago da Riba-Ul    4 127     515
Aveiro    Oliveira de Azemeis    S. Martinho da Gândara    2 289     708
Aveiro    Oliveira de Azemeis    S. Roque    5 480     715
Aveiro    Oliveira de Azemeis    Travanca    1 778     455
Aveiro    Oliveira de Azemeis    Ul    2 832     498
Aveiro    Oliveira de Azemeis    Vila de Cucujães    11 094     1 173 
Aveiro    Oliveira do Bairro    Bustos    2 576     1 012
Aveiro    Oliveira do Bairro    Mamarrosa    1 452     654
Aveiro    Oliveira do Bairro    Oiã    6 712     2 674
Aveiro    Oliveira do Bairro    Oliveira do Bairro    5 731     2 328
Aveiro    Oliveira do Bairro    Palhaça    2 330     1 015
Aveiro    Oliveira do Bairro    Troviscal    2 363     1 045 
Aveiro    Ovar    Arada    3 430     1 534
Aveiro    Ovar    Cortegaça    4 066     1 012
Aveiro    Ovar    Esmoriz    10 993     905
Aveiro    Ovar    Maceda    3 687     1 634
Aveiro    Ovar    Ovar    17 185     4 898
Aveiro    Ovar    S. João    6 695     1 394
Aveiro    Ovar    S. Vicente de Pereira Jusã    2 400     947
Aveiro    Ovar    Válega    6 742     2 664 
Aveiro    S. João da Madeira    S. João da Madeira    21 102     811
Aveiro    Sever do Vouga    Cedrim    995    847
Aveiro    Sever do Vouga    Couto de Esteves    1 055     1 695
Aveiro    Sever do Vouga    Dornelas    662    768
Aveiro    Sever do Vouga    Paradela    797    931
Aveiro    Sever do Vouga    Pessegueiro do Vouga    1 906     1 601
Aveiro    Sever do Vouga    Rocas do Vouga    1 977     1 571
Aveiro    Sever do Vouga    Sever do Vouga    2 728     1 236
Aveiro    Sever do Vouga    Silva Escura    1 738     1 424
Aveiro    Sever do Vouga    Talhadas    1 328     2 912 
Aveiro    Vagos    Calvão    2 010     1 515
Aveiro    Vagos    Covão do Lobo    1 059     845
Aveiro    Vagos    Fonte de Angeão    1 245     955
Aveiro    Vagos    Gafanha da Boa Hora    2 277     3 710
Aveiro    Vagos    Ouca    1 874     1 629
Aveiro    Vagos    Ponte de Vagos    1 706     622
Aveiro    Vagos    Sta. Catarina    1 073     684
Aveiro    Vagos    Santo André de Vagos    2 051     1 244
Aveiro    Vagos    Santo António de Vagos    1 773     964
Aveiro    Vagos    Sosa    2 939     2 203
Aveiro    Vagos    Vagos    4 010     2 158 
Aveiro    Vale de Cambra    Arões    1 952     3 978
Aveiro    Vale de Cambra    Cepelos    1 587     1 927
Aveiro    Vale de Cambra    Codal    1 025     214
Aveiro    Vale de Cambra    Junqueira    1 295     1 717
Aveiro    Vale de Cambra    Macieira de Cambra    4 821     1 788
Aveiro    Vale de Cambra    Roge    1 901     1 652
Aveiro    Vale de Cambra    S. Pedro de Castelões    7 625     2 148
Aveiro    Vale de Cambra    Vila Chã    4 133     686
Aveiro    Vale de Cambra    Vila Cova de Perrinho    459    511
Beja    Aljustrel    Aljustrel    5 559     19 045
Beja    Aljustrel    Ervidel    1 309     3 871
Beja    Aljustrel    Messejana    1 112     11 316
Beja    Aljustrel    Rio de Moinhos    864    3 674
Beja    Aljustrel    S. João de Negrilhos    1 723     7 659 
Beja    Almodôvar    Aldeia dos Fernandes    619    2 048
Beja    Almodôvar    Almodôvar    3 596     22 098
Beja    Almodôvar    Gomes Aires    483    6 618
Beja    Almodôvar    Rosário    606    6 070
Beja    Almodôvar    Sta. Clara-a-Nova    656    10 820
Beja    Almodôvar    Sta. Cruz    898    12 382
Beja    Almodôvar    S. Barnabé    791    14 064
Beja    Almodôvar    Senhora da Graça de Padrões    496    3 488 
Beja    Alvito    Alvito    1 360     13 639
Beja    Alvito    Vila Nova da Baronia    1 328     12 454 
Beja    Barrancos    Barrancos    1 924     16 843 
Beja    Beja    Albernoa    890    10 989
Beja    Beja    Baleizão    1 056     13 825
Beja    Beja    Beja (Salvador)    5 774     614
Beja    Beja    Beja (Sta. Maria da Feira)    3 577     1 560
Beja    Beja    Beja (Santiago Maior)    7 855     4 259
Beja    Beja    Beja (S. João Baptista)    6 269     788
Beja    Beja    Beringel    1 525     1 600
Beja    Beja    Cabeça Gorda    1 571     7 800
Beja    Beja    Mombeja    445    5 554
Beja    Beja    N. S. das Neves    1 895     5 303
Beja    Beja    Quintos    310    13 970
Beja    Beja    Salvada    1 245     5 942
Beja    Beja    Sta. Clara de Louredo    960    7 158
Beja    Beja    Sta. Vitória    750    11 103
Beja    Beja    S. Brissos    101    5 103
Beja    Beja    S. Matias    654    6 991
Beja    Beja    Trigaches    540    1 600
Beja    Beja    Trindade    345    9 863 
Beja    Castro Verde    Casével    365    3 334
Beja    Castro Verde    Castro Verde    4 820     28 832
Beja    Castro Verde    Entradas    774    7 592
Beja    Castro Verde    Sta. Bárbara de Padrões    1 271     6 633
Beja    Castro Verde    S. Marcos da Ataboeira    373    10 339 
Beja    Cuba    Cuba    3 124     6 993
Beja    Cuba    Faro do Alentejo    621    4 431
Beja    Cuba    Vila Alva    624    3 688
Beja    Cuba    Vila Ruiva    625    2 020 
Beja    Ferreira do Alentejo    Alfundão    998    5 190
Beja    Ferreira do Alentejo    Canhestros    541    6 033
Beja    Ferreira do Alentejo    Ferreira do Alentejo    4 866     22 612
Beja    Ferreira do Alentejo    Figueira dos Cavaleiros    1 513     16 378
Beja    Ferreira do Alentejo    Odivelas    692    10 996
Beja    Ferreira do Alentejo    Peroguarda    400    3 636 
Beja    Mértola    Alcaria Ruiva    1 013     21 524
Beja    Mértola    Corte do Pinto    1 080     7 069
Beja    Mértola    Espírito Santo    437    13 398
Beja    Mértola    Mértola    3 093     31 813
Beja    Mértola    Santana de Cambas    863    16 417
Beja    Mértola    S. João dos Caldeireiros    728    10 344
Beja    Mértola    S. Miguel do Pinheiro    880    13 825
Beja    Mértola    S. Pedro de Solis    318    6 374
Beja    Mértola    S. Sebastião dos Carros    300    7 176 
Beja    Moura    Amareleja    2 763     10 834
Beja    Moura    Moura (Santo Agostinho)    4 475     12 124
Beja    Moura    Moura (S. João Baptista)    4 747     9 313
Beja    Moura    Póvoa de S. Miguel    1 094     18 694
Beja    Moura    Safara    1 167     5 762
Beja    Moura    Santo Aleixo da Restauração    842    17 953
Beja    Moura    Santo Amador    456    7 263
Beja    Moura    Sobral da Adiça    1 046     13 830 
Beja    Odemira    Bicos    649    5 652
Beja    Odemira    Boavista dos Pinheiros    (*)     (*)
Beja    Odemira    Colos    1 243     10 629
Beja    Odemira    Longueira/Almocreve    (*)     (*)
Beja    Odemira    Luzianes-Gare    480    9 698
Beja    Odemira    Odemira (Sta. Maria)    2 580     8 466
Beja    Odemira    Odemira (S. Salvador)    3 285     16 440
Beja    Odemira    Pereiras-Gare    373    6 468
Beja    Odemira    Relíquias    1 108     12 002
Beja    Odemira    Sabóia    1 344     15 580
Beja    Odemira    Sta. Clara-a-Velha    780    9 942
Beja    Odemira    S. Luís    2 249     14 681
Beja    Odemira    S. Martinho das Amoreiras    1 199     14 297
Beja    Odemira    S. Teotónio    5 019     30 310
Beja    Odemira    Vale de Santiago    695    5 924
Beja    Odemira    Vila Nova de Milfontes    4 258     7 588
Beja    Odemira    Zambujeira do Mar    844    4 296 
Beja    Ourique    Conceição    141    3 205
Beja    Ourique    Garvão    851    4 251
Beja    Ourique    Ourique    3 041     24 954
Beja    Ourique    Panóias    634    11 035
Beja    Ourique    Sta. Luzia    393    3 489
Beja    Ourique    Santana da Serra    1 139     19 081 
Beja    Serpa    Aldeia Nova de S. Bento    3 430     24 169
Beja    Serpa    Brinches    1 175     9 227
Beja    Serpa    Pias    3 036     16 368
Beja    Serpa    Serpa (Salvador)    4 379     28 882
Beja    Serpa    Serpa (Sta. Maria)    2 184     15 433
Beja    Serpa    Vale de Vargo    1 073     5 792
Beja    Serpa    Vila Verde de Ficalho    1 446     10 503 
Beja    Vidigueira    Pedrógão    1 214     12 402
Beja    Vidigueira    Selmes    1 009     13 698
Beja    Vidigueira    Vidigueira    2 973     2 762
Beja    Vidigueira    Vila de Frades    992    2 558 
Braga    Amares    Amares    1 293     165
Braga    Amares    Barreiros    702    304
Braga    Amares    Besteiros    615    195
Braga    Amares    Bico    528    215
Braga    Amares    Bouro (Sta. Maria)    909    680
Braga    Amares    Bouro (Sta. Marta)    565    961
Braga    Amares    Caires    956    454
Braga    Amares    Caldelas    1 013     447
Braga    Amares    Carrazedo    759    309
Braga    Amares    Dornelas    523    326
Braga    Amares    Ferreiros    2 879     190
Braga    Amares    Figueiredo    1 040     322
Braga    Amares    Fiscal    638    406
Braga    Amares    Goães    647    321
Braga    Amares    Lago    1 955     394
Braga    Amares    Paranhos    155    393
Braga    Amares    Paredes Secas    156    189
Braga    Amares    Portela    198    179
Braga    Amares    Prozelo    653    300
Braga    Amares    Rendufe    1 126     300
Braga    Amares    Sequeiros    273    308
Braga    Amares    Seramil    223    390
Braga    Amares    Torre    402    154
Braga    Amares    Vilela    313    284
Braga    Barcelos    Abade de Neiva    1 869     696
Braga    Barcelos    Aborim    971    390
Braga    Barcelos    Adães    739    251
Braga    Barcelos    Aguiar    574    245
Braga    Barcelos    Airó    946    381
Braga    Barcelos    Aldreu    855    358
Braga    Barcelos    Alheira    1 108     886
Braga    Barcelos    Alvelos    2 168     422
Braga    Barcelos    Alvito (S. Martinho)    379    120
Braga    Barcelos    Alvito (S. Pedro)    549    420
Braga    Barcelos    Arcozelo    13 375     373
Braga    Barcelos    Areias    1 092     276
Braga    Barcelos    Areias de Vilar    1 457     604
Braga    Barcelos    Balugães    863    298
Braga    Barcelos    Barcelinhos    1 899     256
Braga    Barcelos    Barcelos    5 213     120
Braga    Barcelos    Barqueiros    2 033     854
Braga    Barcelos    Bastuço (Santo Estevão)    456    193
Braga    Barcelos    Bastuço (S. João)    694    181
Braga    Barcelos    Cambeses    1 346     341
Braga    Barcelos    Campo    992    250
Braga    Barcelos    Carapeços    2 186     500
Braga    Barcelos    Carreira    1 584     371
Braga    Barcelos    Carvalhal    1 614     306
Braga    Barcelos    Carvalhos    781    350
Braga    Barcelos    Chavão    733    200
Braga    Barcelos    Chorente    758    416
Braga    Barcelos    Cossourado    927    641
Braga    Barcelos    Courel    518    546
Braga    Barcelos    Couto    349    360
Braga    Barcelos    Creixomil    858    417
Braga    Barcelos    Cristelo    1 917     745
Braga    Barcelos    Durrães    785    290
Braga    Barcelos    Encourados    559    438
Braga    Barcelos    Faria    583    301
Braga    Barcelos    Feitos    534    525
Braga    Barcelos    Fonte Coberta    609    256
Braga    Barcelos    Fornelos    763    351
Braga    Barcelos    Fragoso    2 285     1 394
Braga    Barcelos    Galegos (Sta. Maria)    3 081     319
Braga    Barcelos    Galegos (S. Martinho)    2 051     310
Braga    Barcelos    Gamil    838    346
Braga    Barcelos    Gilmonde    1 525     487
Braga    Barcelos    Góios    567    270
Braga    Barcelos    Grimancelos    861    325
Braga    Barcelos    Gueral    417    205
Braga    Barcelos    Igreja Nova    445    190
Braga    Barcelos    Lama    1 330     365
Braga    Barcelos    Lijó    2 191     543
Braga    Barcelos    Macieira de Rates    1 967     756
Braga    Barcelos    Manhente    1 587     371
Braga    Barcelos    Mariz    428    241
Braga    Barcelos    Martim    2 411     484
Braga    Barcelos    Midões    457    276
Braga    Barcelos    Milhazes    984    306
Braga    Barcelos    Minhotães    883    335
Braga    Barcelos    Monte de Fralães    270    180
Braga    Barcelos    Moure    949    226
Braga    Barcelos    Negreiros    1 724     491
Braga    Barcelos    Oliveira    1 038     546
Braga    Barcelos    Palme    1 072     972
Braga    Barcelos    Panque    750    681
Braga    Barcelos    Paradela    853    901
Braga    Barcelos    Pedra Furada    466    210
Braga    Barcelos    Pereira    1 307     447
Braga    Barcelos    Perelhal    1 603     734
Braga    Barcelos    Pousa    2 290     613
Braga    Barcelos    Quintiães    693    601
Braga    Barcelos    Remelhe    1 410     518
Braga    Barcelos    Rio Covo (Sta. Eugénia)    1 399     303
Braga    Barcelos    Rio Covo (Sta. Eulália)    1 033     331
Braga    Barcelos    Roriz    2 152     691
Braga    Barcelos    Sequeade    804    246
Braga    Barcelos    Silva    998    220
Braga    Barcelos    Silveiros    1 108     461
Braga    Barcelos    Tamel (Sta. Leocádia)    768    460
Braga    Barcelos    Tamel (S. Pedro Fins)    551    265
Braga    Barcelos    Tamel (S. Veríssimo)    3 115     380
Braga    Barcelos    Tregosa    695    505
Braga    Barcelos    Ucha    1 359     439
Braga    Barcelos    Várzea    1 648     291
Braga    Barcelos    Viatodos    2 027     401
Braga    Barcelos    Vila Boa    1 640     181
Braga    Barcelos    Vila Cova    1 970     956
Braga    Barcelos    Vila Frescaínha (S. Martinho)    2 219     386
Braga    Barcelos    Vila Frescaínha (S. Pedro)    1 655     316
Braga    Barcelos    Vila Seca    1 275     608
Braga    Barcelos    Vilar de Figos    651    376
Braga    Barcelos    Vilar do Monte    660    483
Braga    Braga    Adaúfe    3 959     1 016
Braga    Braga    Arcos    731    141
Braga    Braga    Arentim    1 040     231
Braga    Braga    Aveleda    2 253     221
Braga    Braga    Braga (Cividade)    1 884     28
Braga    Braga    Braga (Maximinos)    10 030     176
Braga    Braga    Braga (S. João do Souto)    932    22
Braga    Braga    Braga (S. José de S. Lázaro)    14 830     172
Braga    Braga    Braga (S. Vicente)    12 162     142
Braga    Braga    Braga (S. Vitor)    25 407     253
Braga    Braga    Braga (Sé)    3 587     33
Braga    Braga    Cabreiros    1 638     276
Braga    Braga    Celeirós    2 998     236
Braga    Braga    Crespos    991    419
Braga    Braga    Cunha    612    285
Braga    Braga    Dume    3 081     434
Braga    Braga    Escudeiros    1 050     388
Braga    Braga    Espinho    1 334     499
Braga    Braga    Esporões    1 845     442
Braga    Braga    Este (S. Mamede)    1 709     578
Braga    Braga    Este (S. Pedro)    1 806     409
Braga    Braga    Ferreiros    6 857     327
Braga    Braga    Figueiredo    1 218     186
Braga    Braga    Fradelos    678    146
Braga    Braga    Fraião    2 131     322
Braga    Braga    Frossos    1 423     140
Braga    Braga    Gondizalves    1 409     176
Braga    Braga    Gualtar    3 807     379
Braga    Braga    Guisande    453    238
Braga    Braga    Lamaçães    1 364     216
Braga    Braga    Lamas    708    85
Braga    Braga    Lomar    5 546     281
Braga    Braga    Merelim (S. Paio)    2 365     239
Braga    Braga    Merelim (S. Pedro)    1 710     234
Braga    Braga    Mire de Tibães    2 389     507
Braga    Braga    Morreira    796    352
Braga    Braga    Navarra    454    224
Braga    Braga    Nogueira    4 815     382
Braga    Braga    Nogueiró    2 118     281
Braga    Braga    Oliveira (S. Pedro)    568    287
Braga    Braga    Padim da Graça    1 580     335
Braga    Braga    Palmeira    4 594     872
Braga    Braga    Panoias    1 630     115
Braga    Braga    Parada de Tibães    798    140
Braga    Braga    Passos (S. Julião)    697    196
Braga    Braga    Pedralva    1 150     820
Braga    Braga    Penso (S. Estevão)    400    216
Braga    Braga    Penso (S. Vicente)    366    206
Braga    Braga    Pousada    474    304
Braga    Braga    Priscos    1 301     372
Braga    Braga    Real    4 871     132
Braga    Braga    Ruilhe    1 306     172
Braga    Braga    Sta. Lucrécia de Algeriz    485    449
Braga    Braga    Semelhe    847    348
Braga    Braga    Sequeira    2 031     453
Braga    Braga    Sobreposta    1 199     507
Braga    Braga    Tadim    886    227
Braga    Braga    Tebosa    1 096     266
Braga    Braga    Tenões    1 067     213
Braga    Braga    Trandeiras    703    85
Braga    Braga    Vilaça    893    239
Braga    Braga    Vimieiro    1 131     281
Braga    Cabeceiras de Basto    Abadim    668    1 493
Braga    Cabeceiras de Basto    Alvite    1 022     697
Braga    Cabeceiras de Basto    Arco de Baúlhe    1 808     437
Braga    Cabeceiras de Basto    Basto    829    704
Braga    Cabeceiras de Basto    Bucos    615    1 710
Braga    Cabeceiras de Basto    Cabeceiras de Basto    868    2 452
Braga    Cabeceiras de Basto    Cavês    1 599     2 608
Braga    Cabeceiras de Basto    Faia    687    517
Braga    Cabeceiras de Basto    Gondiães    314    2 165
Braga    Cabeceiras de Basto    Outeiro    1 057     728
Braga    Cabeceiras de Basto    Painzela    926    722
Braga    Cabeceiras de Basto    Passos    273    547
Braga    Cabeceiras de Basto    Pedraça    895    1 249
Braga    Cabeceiras de Basto    Refojos de Basto    4 445     1 304
Braga    Cabeceiras de Basto    Rio Douro    1 210     4 352
Braga    Cabeceiras de Basto    Vila Nune    370    456
Braga    Cabeceiras de Basto    Vilar de Cunhas    260    1 947 
Braga    Celorico de Basto    Agilde    1 294     987
Braga    Celorico de Basto    Arnóia    1 919     2 193
Braga    Celorico de Basto    Basto (Sta. Tecla)    279    306
Braga    Celorico de Basto    Basto (S. Clemente)    1 587     1 543
Braga    Celorico de Basto    Borba de Montanha    1 255     991
Braga    Celorico de Basto    Britelo    2 542     661
Braga    Celorico de Basto    Caçarilhe    455    602
Braga    Celorico de Basto    Canedo de Basto    1 028     1 023
Braga    Celorico de Basto    Carvalho    838    751
Braga    Celorico de Basto    Codeçoso    503    944
Braga    Celorico de Basto    Corgo    324    291
Braga    Celorico de Basto    Fervença    1 410     1 118
Braga    Celorico de Basto    Gagos    632    373
Braga    Celorico de Basto    Gémeos    626    368
Braga    Celorico de Basto    Infesta    316    589
Braga    Celorico de Basto    Molares    518    298
Braga    Celorico de Basto    Moreira do Castelo    615    576
Braga    Celorico de Basto    Ourilhe    393    581
Braga    Celorico de Basto    Rego    1 184     1 623
Braga    Celorico de Basto    Ribas    1 229     973
Braga    Celorico de Basto    Vale de Bouro    812    708
Braga    Celorico de Basto    Veade    707    611
Braga    Esposende    Antas    2 163     697
Braga    Esposende    Apúlia    4 323     1 051
Braga    Esposende    Belinho    2 146     737
Braga    Esposende    Curvos    831    345
Braga    Esposende    Esposende    3 471     185
Braga    Esposende    Fão    2 842     604
Braga    Esposende    Fonte Boa    1 298     574
Braga    Esposende    Forjães    2 577     886
Braga    Esposende    Gandra    1 254     555
Braga    Esposende    Gemeses    1 115     551
Braga    Esposende    Mar    1 381     254
Braga    Esposende    Marinhas    5 677     1 172
Braga    Esposende    Palmeira de Faro    2 161     636
Braga    Esposende    Rio Tinto    676    441
Braga    Esposende    Vila Chã    1 410     830
Braga    Fafe    Aboim    418    1 168
Braga    Fafe    Agrela    271    144
Braga    Fafe    Antime    1 589     323
Braga    Fafe    Ardegão    342    314
Braga    Fafe    Armil    820    518
Braga    Fafe    Arnozela    292    434
Braga    Fafe    Arões ( Sta. Cristina)    1 352     355
Braga    Fafe    Arões ( S. Romão)    3 258     637
Braga    Fafe    Cepães    1 590     383
Braga    Fafe    Estorãos    1 588     797
Braga    Fafe    Fafe    15 323     750
Braga    Fafe    Fareja    877    344
Braga    Fafe    Felgueiras    135    542
Braga    Fafe    Fornelos    1 430     350
Braga    Fafe    Freitas    745    624
Braga    Fafe    Golães    2 157     490
Braga    Fafe    Gontim    127    568
Braga    Fafe    Medelo    1 604     199
Braga    Fafe    Monte    393    705
Braga    Fafe    Moreira do Rei    1 992     1 742
Braga    Fafe    Passos    1 113     382
Braga    Fafe    Pedraído    321    447
Braga    Fafe    Queimadela    616    788
Braga    Fafe    Quinchães    2 344     1 045
Braga    Fafe    Regadas    1 794     488
Braga    Fafe    Revelhe    820    492
Braga    Fafe    Ribeiros    732    562
Braga    Fafe    S. Gens    1 888     1 431
